decision_id,date_range,hypothesis_or_generation,campaigns,flights,evidence_scope,verdict,production_action,retest_policy
P4-D016,20260716,"AGL/map-height 可作为全局惯性 VIO 尺度并做 Sim3 reset","P4_yaw_drift_causal_ablation_20260715",fly1;fly3,shadow_and_single_reset,"否决；reset 数学正确但尺度语义错误，XY/速度立即退化","禁止全局 AGL Sim3；shadow 仅诊断","只有独立地面深度状态模型后重测"
P4-D017,20260716,"原 P4 图缺少绝对 attitude gauge","P4_attitude_gauge_fix_20260716_ultra;P4_yaw_q_release_ablation_20260716_ultra",fly1;fly3,focus_and_selected_full,"支持缺少 gauge 的结构问题；直接替换 FC 姿态仅诊断","图内保留物理 gauge，不能 release 时覆盖","新图模型需三飞行全程"
P4-D018,20260716,"calibrated yaw sigma/low-dynamic gauge 可形成统一生产配置","P4_calibrated_yaw_sigma_*;P4_low_dynamic_attitude_gauge_*;P4_yaw_gauge_*",fly1;fly3,focus_and_full,"混合；部分区间改善但跨飞行/全程不统一","未接受任何生产 sigma","禁止按单飞行选 sigma"
P4-D019,20260716,"final-yaw-only 足以完成 P4","P4_final_yaw_only_focus_20260716_autonomous;P4_final_yaw_only_full_20260716_autonomous",fly1;fly3,focus_and_full,"否决；fly1 局部改善但尾段仍漂","不作为正式 P4","不重复"
P4-D020,20260716-20260717,"固定方向补偿跨转向有效，或 qpv/bias/cov 可独立替换","P4_fly2_direction_validation_20260716_autonomous",fly2,focus_release_state_ablation,"否决固定方向；支持 qpv/bias/cov 强耦合","禁止分块拼接状态","新原子交接模型才重测"
P4-D021,20260717,"临时 VIO 加 P4 yaw/position gauge 和 history Sim3 可正式交接","P4_provisional_gauge_refactor_20260717",fly1;fly3,focus_and_lap,"否决；fly3 出现 4-7 m/s 顺航向速度过冲","删除惯性 history Sim3 路线","禁止继续调 scale"
P4-D022,20260717,"每关键帧 q/p/v/bg/ba 与相邻 15D CPI 是异常初始化拓扑","P4_direct_sliding_state_20260717",fly1;fly2;fly3,code_audit_and_replay,"否决该质疑；与 OpenVINS DynamicInitializer 拓扑一致","保留标准拓扑","不重复争论，改查量测和交接"
P4-D023,20260717,"共享 bias 和两阶段重预积分比标准 bias 链更稳定","P4_direct_sliding_state_20260717;p4_window_full_posterior_20260717",fly2,shadow_windows_and_half_lap,"否决；ba_z 随窗口内容大幅变化且无法连续稳定","恢复逐关键帧 bias/random-walk 链","禁止共享 bias 调门限"
P4-D024,20260717,"把 P4 history/clone 注入并重复使用同一视觉轨迹可改善成熟度","P4_direct_sliding_state_20260717;p4_window_history_transfer_20260717",fly2,short_and_half_lap,"否决；短程改善但全程退化，属于视觉双重使用","精确消费 feature 或不注入","禁止重复用同一像素"
P4-D025,20260717,"单个 FC q/p/v anchor 足够固定尺度和轨迹形状","P4_direct_sliding_state_20260717;p4_fc_anchor_relative_20260717",fly2,shadow_and_half_lap,"否决；结果强依赖 anchor，部分末端速度异常","不用单点承担全部 FC 轨迹","禁止调 anchor 时刻过拟合"
P4-D026,20260717,"FC p/v 归一化时间积分可避免相关 FC 行重复增权","P4_direct_sliding_state_20260717;p4_fc_time_integral_20260717",fly2,half_lap_and_extended,"fly2 局部支持；三飞行 full 未通过","暂留 v14 图模型但未验收","只有交接模型明确后同条件复验"
P4-D027,20260717,"FC gauge 加 relative-shape 优于绝对时间积分","P4_direct_sliding_state_20260717;p4_fc_anchor_relative_20260717",fly2,half_lap,"否决；首个 backend update 速度跳变约 3.5 m/s","已撤销","禁止重复"
P4-D028,20260717,"联合 covariance 做 DPD inflation 等同上游 OpenVINS","P4_direct_sliding_state_20260717;p4_window_full_graph_posterior_20260717",fly2,unit_and_replay,"否决等同性；上游只放大指定 3x3 对角块并保留 cross blocks","撤销原生语义声明","可作为独立模型但必须重新命名和验证"
P4-D029,20260717,"v14 native-history handoff 已超过单行/global baseline","P4_direct_sliding_state_20260717;p4_crossflight_v14_20260717",fly1;fly2;fly3,full_formal,"否决；fly1/fly2 明显退化，fly3 尾段 course 更差","v14 不可验收","不得重复同 v14 合同"
P4-D030,20260717,"当前后端本身导致 v14 全部退化","P4_direct_sliding_state_20260717;p4_crossflight_v14_20260717",fly1;fly2;fly3,current_runtime_single_row_full,"否决；同运行时单行在 fly1/fly2 明显更好","根因范围限定到 P4 初始化/交接","保留为每代 P4 必需 baseline"
P4-D031,20260717,"仅终端状态加上游式 block inflation 是已完成修复","P4_direct_sliding_state_20260717",fly1;fly2;fly3,current_focus_incomplete,"未验证且与既有 no-history 消融重叠；fly2 无轨迹、fly1 无退出回执","状态为 DIAGNOSTIC_RECHECK","先消化旧证据并修复运行合同，禁止宣称完成"
